pc,tool_1,version_1,contract,type,property
792.0,securify,0,0x750241c16c9fb878a7afd2b07b80f53e02c3f634,Violation,RestrictedWrite
806.0,securify,0,0x750241c16c9fb878a7afd2b07b80f53e02c3f634,Violation,RestrictedWrite
823.0,securify,0,0x750241c16c9fb878a7afd2b07b80f53e02c3f634,Violation,RestrictedWrite
857.0,securify,0,0xebfed9e4ae035b0f7ae982d1a7abfe0aa26a0341,Safety,TimestampDepend
887.0,securify,0,0xebfed9e4ae035b0f7ae982d1a7abfe0aa26a0341,Safety,TimestampDepend
424.0,securify,0,0xebfed9e4ae035b0f7ae982d1a7abfe0aa26a0341,Violation,RestrictedWrite
641.0,securify,0,0xebfed9e4ae035b0f7ae982d1a7abfe0aa26a0341,Violation,RestrictedWrite
759.0,securify,0,0xebfed9e4ae035b0f7ae982d1a7abfe0aa26a0341,Violation,RestrictedWrite
772.0,securify,0,0xebfed9e4ae035b0f7ae982d1a7abfe0aa26a0341,Violation,RestrictedWrite
898.0,securify,0,0xebfed9e4ae035b0f7ae982d1a7abfe0aa26a0341,Violation,RestrictedWrite
509.0,securify,0,0xebfed9e4ae035b0f7ae982d1a7abfe0aa26a0341,Violation,RestrictedWrite
607.0,securify,0,0xebfed9e4ae035b0f7ae982d1a7abfe0aa26a0341,Violation,RestrictedWrite
616.0,securify,0,0xebfed9e4ae035b0f7ae982d1a7abfe0aa26a0341,Violation,RestrictedWrite
747.0,securify,0,0xebfed9e4ae035b0f7ae982d1a7abfe0aa26a0341,Violation,RestrictedWrite
674.0,securify,0,0xc18a451d4ef2a85e7bf8404131c5f994a98bdb15,Violation,RestrictedWrite
697.0,securify,0,0xc18a451d4ef2a85e7bf8404131c5f994a98bdb15,Violation,RestrictedWrite
706.0,securify,0,0xc18a451d4ef2a85e7bf8404131c5f994a98bdb15,Violation,RestrictedWrite
723.0,securify,0,0xc18a451d4ef2a85e7bf8404131c5f994a98bdb15,Violation,RestrictedWrite
