tool_1,contract,property,type,matches_1,count_1,tool_2,matches_2,count_2
securify,0x062524205ca7ecf27f4a851edec93c7ad72f427b,RestrictedWrite,Violation,"[398.0, 580.0, 644.0, 655.0, 738.0, 777.0, 784.0]",7.0,horstify,"[738.0, 580.0, 644.0, 398.0, 655.0]",5.0
securify,0x2a28cc275b458019910e3b8b8ee58f17eb6d38c8,RestrictedWrite,Violation,"[234.0, 1894.0, 1396.0, 1349.0]",4.0,horstify,"[1396.0, 1894.0, 234.0]",3.0
securify,0x477bb914dc811282675eadb05a1c272132429bbb,TimestampDepend,Safety,"[163.0, 240.0, 290.0, 377.0, 492.0, 539.0]",6.0,horstify,"[163.0, 377.0]",2.0
securify,0xa0285193e366a634fd9639d650b2115d77681a37,RestrictedWrite,Violation,"[624.0, 688.0, 699.0, 764.0, 801.0, 818.0, 826.0, 843.0]",8.0,horstify,"[688.0, 624.0, 699.0, 764.0]",4.0
securify,0x883ee0b0ce06f11cb215c7e2299f1948b247784b,RestrictedWrite,Violation,"[447.0, 514.0, 525.0, 590.0, 629.0, 642.0, 654.0, 709.0]",8.0,horstify,"[514.0, 525.0, 590.0, 447.0]",4.0
securify,0x5a437D94843541d5cB83221a4A4B253dE30B97b7,RestrictedWrite,Violation,"[539.0, 603.0, 614.0, 697.0, 734.0, 753.0, 789.0, 803.0, 820.0]",9.0,horstify,"[614.0, 697.0, 539.0, 603.0]",4.0
securify,0x8ea6c8077d6316b46e449aec8fb60a606cf50eea,RestrictedWrite,Violation,"[190.0, 338.0, 594.0, 711.0]",4.0,horstify,[190.0],1.0
securify,0x15e745a2e3b677ec6421291b212d3917b3738dee,TimestampDepend,Safety,"[150.0, 418.0, 614.0]",3.0,horstify,[150.0],1.0
securify,0xCF0c7e3Ad3b2C82BdDd286A301aFaAFd185F30EC,TimestampDepend,Safety,"[167.0, 213.0, 383.0, 430.0, 593.0]",5.0,horstify,"[167.0, 383.0]",2.0
securify,0x1213c29b5e1a6f33e0d044f850a57b665e3cde21,RestrictedWrite,Violation,"[542.0, 606.0, 617.0, 700.0, 737.0, 756.0, 792.0, 806.0, 823.0]",9.0,horstify,"[617.0, 700.0, 542.0, 606.0]",4.0
